review,sentiment,processed_review
"Отличное платье, сидит идеально! Качество ткани на высоте.",2,отличное платье сидит идеально качество ткани высоте
"Ужасный товар, размер не соответствует, ткань дешевая.",0,ужасный товар размер соответствует ткань дешевая
"Нормальное платье за свои деньги, но швы не очень ровные.",1,нормальное платье свои деньги швы очень ровные
Прекрасный выбор! Очень удобно и стильно выглядит.,2,прекрасный выбор очень удобно стильно выглядит
"Разочарована покупкой, цвет на фото и в реальности отличается.",0,разочарована покупкой цвет фото реальности отличается
"Качественная вещь, но размер маловат, нужно брать больше.",1,качественная вещь размер маловат нужно брать
"Очень плохое качество, после первой стирки полиняло.",0,очень плохое качество первой стирки полиняло
"Идеально! То что нужно, буду заказывать еще.",2,идеально нужно буду заказывать
"Средненько, ничего особенного, но носить можно.",1,средненько особенного носить
Лучшая покупка этого сезона! Рекомендую всем.,2,лучшая покупка сезона рекомендую всем
